side,price,volume,qid,internal_timestamp
S,62688.22,0.0882,100559142,2024-02-29 11:00:26+00:00
S,62688.26,0.00798,100490756,2024-02-29 11:00:26+00:00
S,62688.74,0.00027,100525160,2024-02-29 11:00:26+00:00
S,62689.44,0.14525,100558388,2024-02-29 11:00:26+00:00
S,62689.6,0.094,100557606,2024-02-29 11:00:26+00:00
S,62689.64,0.2436,100556784,2024-02-29 11:00:26+00:00
S,62690.72,0.00638,100549520,2024-02-29 11:00:26+00:00
S,62691.09,0.02128,100555726,2024-02-29 11:00:26+00:00
S,62691.1,0.0638,100517914,2024-02-29 11:00:26+00:00
S,62691.62,0.0012,100535918,2024-02-29 11:00:26+00:00
B,62685.15,0.02011,109203855,2024-02-29 11:00:26+00:00
B,62685.22,0.13,109197951,2024-02-29 11:00:26+00:00
B,62685.23,0.56,109207175,2024-02-29 11:00:26+00:00
B,62685.24,0.15,109206479,2024-02-29 11:00:26+00:00
B,62685.61,0.79591,109206477,2024-02-29 11:00:26+00:00
B,62686.27,0.00013,109212339,2024-02-29 11:00:26+00:00
B,62686.38,0.08849,109206475,2024-02-29 11:00:26+00:00
B,62687.49,0.01277,109212337,2024-02-29 11:00:26+00:00
B,62687.96,0.31898,109206471,2024-02-29 11:00:26+00:00
B,62688.21,6.19793,109210623,2024-02-29 11:00:26+00:00
S,62688.22,0.39876,100567036,2024-02-29 11:00:27+00:00
S,62688.26,0.00798,100490756,2024-02-29 11:00:27+00:00
S,62688.28,0.1559,100566464,2024-02-29 11:00:27+00:00
S,62688.74,0.00027,100525160,2024-02-29 11:00:27+00:00
S,62689.6,0.094,100557606,2024-02-29 11:00:27+00:00
S,62689.64,0.2436,100556784,2024-02-29 11:00:27+00:00
S,62690.72,0.00638,100549520,2024-02-29 11:00:27+00:00
S,62691.09,0.02128,100555726,2024-02-29 11:00:27+00:00
S,62691.1,0.06396,100563690,2024-02-29 11:00:27+00:00
S,62691.62,0.0012,100535918,2024-02-29 11:00:27+00:00
B,62685.22,0.13,109197951,2024-02-29 11:00:27+00:00
B,62685.23,0.55542,109207175,2024-02-29 11:00:27+00:00
B,62685.24,0.15,109206479,2024-02-29 11:00:27+00:00
B,62685.61,0.79591,109206477,2024-02-29 11:00:27+00:00
B,62686.27,0.00013,109212339,2024-02-29 11:00:27+00:00
B,62686.38,0.08849,109206475,2024-02-29 11:00:27+00:00
B,62686.5,0.00016,109215129,2024-02-29 11:00:27+00:00
B,62687.65,0.00016,109215127,2024-02-29 11:00:27+00:00
B,62687.96,0.31898,109206471,2024-02-29 11:00:27+00:00
B,62688.21,6.24922,109218933,2024-02-29 11:00:27+00:00
S,62688.22,0.80225,100572902,2024-02-29 11:00:28+00:00
S,62688.26,0.00798,100490756,2024-02-29 11:00:28+00:00
S,62688.28,0.1559,100566464,2024-02-29 11:00:28+00:00
S,62688.65,0.15949,100571502,2024-02-29 11:00:28+00:00
S,62688.74,0.00027,100525160,2024-02-29 11:00:28+00:00
S,62689.59,0.18659,100570506,2024-02-29 11:00:28+00:00
S,62689.6,0.094,100557606,2024-02-29 11:00:28+00:00
S,62689.64,0.2436,100556784,2024-02-29 11:00:28+00:00
S,62690.72,0.00638,100549520,2024-02-29 11:00:28+00:00
S,62691.09,0.02128,100555726,2024-02-29 11:00:28+00:00
B,62685.22,0.13,109197951,2024-02-29 11:00:28+00:00
B,62685.23,0.55542,109207175,2024-02-29 11:00:28+00:00
B,62685.24,0.15,109206479,2024-02-29 11:00:28+00:00
B,62685.61,0.79591,109206477,2024-02-29 11:00:28+00:00
B,62686.27,0.00013,109212339,2024-02-29 11:00:28+00:00
B,62686.5,0.00016,109215129,2024-02-29 11:00:28+00:00
B,62687.65,0.00016,109215127,2024-02-29 11:00:28+00:00
B,62687.66,0.01536,109225603,2024-02-29 11:00:28+00:00
B,62687.96,0.31898,109206471,2024-02-29 11:00:28+00:00
B,62688.21,5.44071,109223387,2024-02-29 11:00:28+00:00
S,62688.22,2.62348,100578888,2024-02-29 11:00:29+00:00
S,62688.26,0.00798,100490756,2024-02-29 11:00:29+00:00
S,62688.28,0.1559,100566464,2024-02-29 11:00:29+00:00
S,62688.74,0.00027,100525160,2024-02-29 11:00:29+00:00
S,62689.59,0.18659,100570506,2024-02-29 11:00:29+00:00
S,62689.6,0.094,100557606,2024-02-29 11:00:29+00:00
S,62689.64,0.2436,100556784,2024-02-29 11:00:29+00:00
S,62690.72,0.00638,100549520,2024-02-29 11:00:29+00:00
S,62691.09,0.02128,100555726,2024-02-29 11:00:29+00:00
S,62691.1,0.06396,100563690,2024-02-29 11:00:29+00:00
B,62684.2,0.00016,109215131,2024-02-29 11:00:29+00:00
B,62684.6,0.04,109231075,2024-02-29 11:00:29+00:00
B,62685.15,0.02011,109203855,2024-02-29 11:00:29+00:00
B,62685.22,0.13,109197951,2024-02-29 11:00:29+00:00
B,62685.23,0.44279,109207175,2024-02-29 11:00:29+00:00
B,62685.24,0.15,109206479,2024-02-29 11:00:29+00:00
B,62686.27,0.00013,109212339,2024-02-29 11:00:29+00:00
B,62686.5,0.00016,109215129,2024-02-29 11:00:29+00:00
B,62687.65,0.00016,109215127,2024-02-29 11:00:29+00:00
B,62688.21,2.18911,109226715,2024-02-29 11:00:29+00:00
S,62688.22,3.36784,100583548,2024-02-29 11:00:30+00:00
S,62688.26,0.00798,100490756,2024-02-29 11:00:30+00:00
S,62688.28,0.1559,100566464,2024-02-29 11:00:30+00:00
S,62688.74,0.00027,100525160,2024-02-29 11:00:30+00:00
S,62689.59,0.18659,100570506,2024-02-29 11:00:30+00:00
S,62689.6,0.094,100557606,2024-02-29 11:00:30+00:00
S,62689.64,0.2436,100556784,2024-02-29 11:00:30+00:00
S,62689.66,0.31897,100579960,2024-02-29 11:00:30+00:00
S,62690.72,0.00638,100549520,2024-02-29 11:00:30+00:00
S,62691.09,0.02128,100555726,2024-02-29 11:00:30+00:00
B,62684.2,0.00016,109215131,2024-02-29 11:00:30+00:00
B,62684.89,0.0004,109235455,2024-02-29 11:00:30+00:00
B,62685.15,0.15915,109237827,2024-02-29 11:00:30+00:00
B,62685.23,0.44279,109207175,2024-02-29 11:00:30+00:00
B,62685.24,0.15,109206479,2024-02-29 11:00:30+00:00
B,62685.45,0.10773,109236075,2024-02-29 11:00:30+00:00
B,62686.27,0.00013,109212339,2024-02-29 11:00:30+00:00
B,62686.5,0.00016,109215129,2024-02-29 11:00:30+00:00
B,62687.65,0.00016,109215127,2024-02-29 11:00:30+00:00
B,62688.21,0.28118,109226715,2024-02-29 11:00:30+00:00
S,62685.24,7.33858,100589618,2024-02-29 11:00:31+00:00
S,62685.4,0.31899,100589008,2024-02-29 11:00:31+00:00
S,62686.37,0.08849,100589010,2024-02-29 11:00:31+00:00
S,62686.59,0.58347,100589012,2024-02-29 11:00:31+00:00
S,62687.67,0.13,100589014,2024-02-29 11:00:31+00:00
S,62688.1,0.15,100589016,2024-02-29 11:00:31+00:00
S,62688.2,0.31898,100589018,2024-02-29 11:00:31+00:00
S,62688.22,0.3016,100587458,2024-02-29 11:00:31+00:00
S,62688.26,0.00798,100490756,2024-02-29 11:00:31+00:00
S,62688.74,0.00027,100525160,2024-02-29 11:00:31+00:00
B,62677.41,0.02,109244019,2024-02-29 11:00:31+00:00
B,62677.87,0.15951,109244017,2024-02-29 11:00:31+00:00
B,62679.11,0.00019,109209187,2024-02-29 11:00:31+00:00
B,62680.72,0.00012,109205167,2024-02-29 11:00:31+00:00
B,62680.75,0.00016,109215133,2024-02-29 11:00:31+00:00
B,62681.12,0.15,109191179,2024-02-29 11:00:31+00:00
B,62681.44,0.0804,109197967,2024-02-29 11:00:31+00:00
B,62683.29,0.00012,109243419,2024-02-29 11:00:31+00:00
B,62684.2,0.00016,109215131,2024-02-29 11:00:31+00:00
B,62685.23,0.60177,109243417,2024-02-29 11:00:31+00:00
S,62685.24,8.26106,100595656,2024-02-29 11:00:32+00:00
S,62685.4,0.31899,100589008,2024-02-29 11:00:32+00:00
S,62686.37,0.08849,100589010,2024-02-29 11:00:32+00:00
S,62686.59,0.13379,100589012,2024-02-29 11:00:32+00:00
S,62687.18,0.00012,100594630,2024-02-29 11:00:32+00:00
S,62687.54,0.00638,100591484,2024-02-29 11:00:32+00:00
S,62687.67,0.13,100589014,2024-02-29 11:00:32+00:00
S,62688.1,0.15,100589016,2024-02-29 11:00:32+00:00
S,62688.18,0.00016,100591486,2024-02-29 11:00:32+00:00
S,62688.2,0.31898,100589018,2024-02-29 11:00:32+00:00
B,62680.72,0.00012,109205167,2024-02-29 11:00:32+00:00
B,62681.12,0.15,109191179,2024-02-29 11:00:32+00:00
B,62681.37,0.13368,109250203,2024-02-29 11:00:32+00:00
B,62681.44,0.0804,109197967,2024-02-29 11:00:32+00:00
B,62681.58,0.0004,109248867,2024-02-29 11:00:32+00:00
B,62682.12,0.00016,109245937,2024-02-29 11:00:32+00:00
B,62683.2,0.00016,109245931,2024-02-29 11:00:32+00:00
B,62683.29,0.00012,109243419,2024-02-29 11:00:32+00:00
B,62683.92,0.09966,109250927,2024-02-29 11:00:32+00:00
B,62685.23,0.72876,109250199,2024-02-29 11:00:32+00:00
S,62685.24,7.55588,100602658,2024-02-29 11:00:33+00:00
S,62686.2,0.34538,100598604,2024-02-29 11:00:33+00:00
S,62686.37,0.08849,100589010,2024-02-29 11:00:33+00:00
S,62686.59,0.13379,100589012,2024-02-29 11:00:33+00:00
S,62687.18,0.00012,100594630,2024-02-29 11:00:33+00:00
S,62687.54,0.00638,100591484,2024-02-29 11:00:33+00:00
S,62687.66,0.1914,100597688,2024-02-29 11:00:33+00:00
S,62687.67,0.13,100589014,2024-02-29 11:00:33+00:00
S,62688.1,0.15,100589016,2024-02-29 11:00:33+00:00
S,62688.18,0.00016,100591486,2024-02-29 11:00:33+00:00
B,62678.58,0.15951,109260819,2024-02-29 11:00:33+00:00
B,62679.96,0.00016,109245939,2024-02-29 11:00:33+00:00
B,62680.72,0.00012,109205167,2024-02-29 11:00:33+00:00
B,62681.12,0.15,109191179,2024-02-29 11:00:33+00:00
B,62681.44,0.0804,109197967,2024-02-29 11:00:33+00:00
B,62681.58,0.0004,109248867,2024-02-29 11:00:33+00:00
B,62682.12,0.00016,109245937,2024-02-29 11:00:33+00:00
B,62683.2,0.00016,109245931,2024-02-29 11:00:33+00:00
B,62683.29,0.00012,109243419,2024-02-29 11:00:33+00:00
B,62685.23,0.72577,109254049,2024-02-29 11:00:33+00:00
S,62678.04,3.47762,100612208,2024-02-29 11:00:34+00:00
S,62679.78,0.08849,100609706,2024-02-29 11:00:34+00:00
S,62679.8,0.34538,100609708,2024-02-29 11:00:34+00:00
S,62679.97,0.4546,100609710,2024-02-29 11:00:34+00:00
S,62680.03,0.224,100609712,2024-02-29 11:00:34+00:00
S,62680.6,0.15,100609720,2024-02-29 11:00:34+00:00
S,62680.72,0.01222,100608004,2024-02-29 11:00:34+00:00
S,62680.73,0.45281,100612210,2024-02-29 11:00:34+00:00
